ＥＲＲＯＲ：本文がありません！	ERROR: No message body!
チューたろうは田中さんの犬です。	Chewtarou is Mrs Tanaka's dog.
たとえ火の中、水の中。あなたとならば、どこまでもいきます。	I'll follow you, come hell or high water.
ゼラチンを水につけてふやかす。	Soak the gelatin in water.
夕べジェーンとデートした。	I had a date with Jane last night.
目がヒリヒリします。	My eyes smart.
目がチカチカします。	My eyes feel irritated.
目がゴロゴロします。	My eyes feel gritty.
目がかゆいです。	My eyes feel itchy.
目がかすみます。	I have bleary eyes.
目がうそをついていますよ。	Your eyes are lying.
木はたとえあってもほとんどない。	There were few, if any, trees.
木にぶつかったんです。	I ran into a tree.
木にオレンジがいくつかなっている。	There are some oranges on the tree.
本はほとんどない。	They have few books.
本はそのままにしておきなさい。	Leave the books as they are.
本のページをめくる。	I turn over a page of the book.
本とノートをしまいなさい。	Put away your books and notebooks.
白いベルトのついたのです。	I like the one with a white belt.
白いですか。	Is it white?
白いドレスはありますか。	Do you have a dress in white?
白いシャツはありますか。	Do you have any shirt in white?
日本へようこそ。	Welcome to Japan.
日本はどうなるだろう？	What will become of Japan?
日本はどうですか。	How do you like Japan?
日本はそうではない。	That is not the case in Japan.
日本はカナダより小さい。	Japan is smaller than Canada.
日本はいかがですか。	How do you like Japan?
日本のビールはありますか。	Do you have any Japanese beer?
日本にコレクトコールしたいのですが。	I want to make a collect call to Japan.
日本ではそうではない。	That isn't the case in Japan.
日の丸がはためいていた。	Japanese flags were flying.
日にちはどのくらいかかりますか。	How long will it take?
田中さんとはもうつきあいがない。	I don't associate with Mr Tanaka any more.
中にはむずかしそうなのもあるし。	Some of them seem to be too difficult.
石けんをください。	I need some soap.
石けんが目にしみました。	The soap hurt my eyes.
正しいことをせよ。	Do that which is right.
正しいことをしなさい。	Do what is right.
水をください。	Some water, please.
水をいっぱいほしいんだけど。	I'd like a glass of water.
水をいっぱいいただきたいのですが。	I'd like a glass of water, please.
水ぶくれがかさぶたになってきました。	The blisters have formed scabs.
水はすぐにはけるだろう。	The water will soon drain away.
水がほしいのですが。	I'd like some water.
出口はどちらですか。	Where is the way out?
出るかはいるかどちらかにしてください。	Either go out or come in.
手をきれいにしておかなければならない。	We must keep our hands clean.
手をあげろ！	Put your hands up!
手はきれいにしておかなければなりませんよ。	You must keep your hands clean.
手すりにつかまっていなさい。	Hold on to the rail.
子犬がしっぽをふってついてきた。	A puppy followed me wagging its tail.
子どもはじっとしていないものだ。	Children don't keep still.
左目がチクチクします。	I have a prickling sensation in my left eye.
左手がしびれます。	My left hand is numb.
犬は水の中をのぞいた。	The dog looked into the water.
犬はトラックにはねられた。	The dog was hit by a truck.
犬はつながれていますか。	Is the dog chained?
犬にえさをやりましたか。	Have you fed the dog?
犬がミルクをなめてしまった。	The dog has lapped up the milk.
犬がトラックにひかれた。	A dog was run over by a truck.
月とすっぽん。	They are as different as day and night.
丸くおさまってよかった。	I am glad that the matter was settled amicably.
火にあたりながらすわっていた。	We sat over a fire.
右目がどうにかなってしまった。	Something has happened to my right eye.
右手がしびれます。	My right hand is numb.
わたしは手をすっかりよごしちゃった。	I got my hands quite dirty.
わかりやすい本からはじめなさい。	Begin with such books as you can easily understand.
ローマは１日でできたのではなかった。	Rome was not built in a day.
ろうそくに火をつけてください。	Please light a candle.
リンゴは木になる。	Apples grow on trees.
よい１日を。	Have a nice day!
やぶへびを出すな。	Let well enough alone.
やけどで水ぶくれができました。	I got blisters from the burn.
もっと小さいサイズがありますか。	Do you have a smaller size?
もうこれよりほかに手はない。	There's no other way than this now.
メンツ丸つぶれだ。	I have lost face completely.
ミスプリントのないような本はほとんどない。	There are few books without misprints.
まもなく月がでた。	Before long, the moon came out.
まったくひどい日だったわ。	It was a terrible day.
またお目にかかれてうれしいです。	It is nice to see you again.
またお目にかかりましょう。	See you again.
またいつかお目にかかりましょう。	I hope to see you sometime.
ボブは正しいですか。	Is Bob right?
ボールは丸い。	Balls are round.
ペーパー・カップの中へとあふれでていく。	It overflows into a paper cup.
ブライアンはバラを手にした。	Brian took some roses.
ビルは日本にいました。	Bill was in Japan.
ひどい目にあった。	I had a devil of a time.
ひどい目にあいますよ。	You'll have a hard time.
ひざに水がたまっているようです。	I'm afraid I have water in my knee joint.
ピクニックの日がやってきた。	The day of the picnic has arrived.
はじめまして、アレンさんお目にかかれてうれしいです。	How do you do, Mrs. Allen? I'm pleased to meet you.
バケツにほとんど水がない。	There is little water in the bucket.
ニッケルは５セント玉です。	A nickel is a five-cent coin.
なんといい日なのでしょう。	What a nice day it is!
なんてばかな子なんだ、あいつは！	What a stupid boy he is!
なんてばかなんだ、あの子は！	How stupid he is!
なんてすばらしい日でしょう。	What a lovely day it is!
なんてかわいい子犬たちだろう。	What lovely puppies they are!
どれもみな正しい。	The answers are all right.
トラックが犬をはねた。	A truck hit the dog.
トムあなたはなんていい子なんでしょう。	What a good boy you are, Tom!
トマトと玉ねぎをのせてください。	I'll have tomato and onion.
どの犬があなたのものですか。	Which dog is yours?
どのくらい日本にいるのですか。	How long have you been in Japan?
どのくらい日本にいらっしゃいますか。	How long have you been in Japan?
どっちの日でもいいですよ。	Either day would be all right with me.
どちらの本がよいですか。	Which book is better?
どちらの本があなたのものですか。	Which book is yours?
どちらがあなたの本ですか、この本それともあの本。	Which is your book, this one or that one?
どこから出るのですか。	Where does it leave from?
できるなら、あなたにお目にかかりたい。	I'd like to see you if possible.
つらい目にあった。	I had a hard time of it.
つまり、５月１０日のことだ。	That is to say, on May 10th.
タンクの中には、あったとしてもごくわずかな水しかない。	There's little water in the tank, if any.
タバコを１本おくれ。	Let me have a cigarette.
たとえ火の中水の中あなたにならば、どこまでもついていきます。	I'll follow you, come hell or high water.
たとえ火の中水の中。	Go through fire and water.
ただでこの本をもっていっていいよ。	You can have this book for nothing.
たこが木にひっかかった。	The kite got caught in the tree.
たくさん本がありますね。	There are many books, aren't there?
ダイエット中です。	I'm on a diet.
それは本です。	It is a book.
それは白いです。	It's white.
それはよくある手だ。	That's an old trick.
それは１日でできる。	It can be done in a day.
それにもっと水をたしなさい。	Add more water to it.
それが正しいことだとわかった。	It turned out to be true.
その木にはたくさんのオレンジがなっている。	There are plenty of oranges on the tree.
その本をなおしなさい。	Put back the book where you found it.
その本をとってくれ。	Give me the book.
その本をたなにおいてください。	Please put the book on the shelf.
その本はやさしかった。	I found the book easy.
その本はどれもためにならない。	None of the books are instructive.
その本はどこにありますか。	Where is the book?
その本はおもしろかった。	I found the book interesting.
