この新聞はロハだ。	This newspaper is free.
はい。これならそらで歌えます。	Yes. This one I can sing from memory.
話をやめてくれませんか。	Would you please stop talking?
話をつけようじゃないか。	Let's talk it out.
話をそらすなよ。	Don't change the subject.
話をさえぎらないでください。	Please don't cut me off like that.
話はかわりますが。	To change the subject.
話すことはおろか、ささやくなんてとんでもないことです。	Don't whisper, let alone speak.
話してもいいですか。	May I speak to you?
話しかけるな。	Don't talk!
話したいことがあるのだけど。	I want to talk to you about something.
話がそれた。	The story wandered.
話がうますぎるよ。	That's too good to be true.
話があるんだけど。	Can we talk in private?
病人はまだしっかりしている。	The patient is holding his own.
病気だときいたので。	I've heard you've been sick.
病気だったんだよ。	Oh, I was ill.
病院まで１０マイルもある。	It is no less than ten miles to the hospital.
買い物をしてきてくれる？	Can you do some shopping for me?
農民たちは、なにをするのかわからなかった。	The farmers didn't know what to do.
日本語を話すスチュワーデスはいるか。	Is there a Japanese-speaking stewardess?
日本語が話せますか。	Do you speak Japanese?
日本語は話せますか。	Do you speak Japanese?
日本語の話せるスタッフがいますか。	Do you have any employees who speak Japanese?
日本語の新聞はないのですか。	Do you have Japanese newspapers?
日本語の新聞はありますか。	Do you have any Japanese newspapers?
日本語のガイドがありますか。	Do you have any museum guides in Japanese?
日本語で話してはいけません。	Don't speak in Japanese.
頭をドアにぶつけてこぶができました。	I bumped my head against the door and got a lump.
頭がよかったらいいのになあ。	I wish I were clever.
頭がはっきりしてきた。	My head has begun to clear.
頭がじいんとする。	My head hums.
頭がぐらぐらします。	My head is swimming.
頭がクラクラします。	My head is spinning.
調子はどうですか。	How are you doing?
調子いいですか。	How's it going?
調子でてきたね。	You're hitting your stride.
地下鉄のちずはありますか。	Do you have a subway map?
親をあてにしてはいけない。	You should not depend on your parents.
新聞はもうおすみになりましたか。	Are you through with the paper?
新聞はおすみになりましたか。	Have you got through with the paper?
新聞はいくつとっていますか。	How many papers do you take?
新聞にはなにもおもしろいことはなかった。	There was nothing interesting in the newspaper.
新聞どこ？	Where's the newspaper?
心配するな。	Never mind!
心配するな。もういいよ。	Don't worry. It's OK.
心配しなくていいよ。	Don't worry.
心配いりません。	Don't worry about that.
自転車もらえるかしら。	Do you think I'll get the bike?
あなたに歌を歌ってもらいたい。	I want you to sing a song.
最後まで話をつづけさせてください。	Let me finish.
最後の最後まであきらめるな。	Never give up till the very end.
最後のつめにはいるときです。	It's time to move in for the kill.
最近調子はどうフランク？	How's everything these days, Frank?
最近どうしてる？	How are you doing these days?
最近エリザベスにちっともあってない。	I have not seen anything of Elizabeth lately.
近道をしよう。	Let's take a short cut.
顔をこちらへ向けなさい。	Turn your face this way.
顔をそってください。	A shave, please.
顔がひきつります。	My face twitches.
顔がほてります。	My cheeks burn.
楽しみにしております。	I'm looking forward to it.
歌を歌いましょう。	Let us sing a song.
歌がうまければいいのになあ。	I wish I were a good singer.
歌がうまければいいのに。	If only I could sing well.
運がいいね。	It's a godsend.
わたしは最終バスに間に合うのがやっとだった。	I had enough to do to catch the last bus.
ローラは病気だったのかもしれない。	Laura may have been sick.
よくも顔をつぶしてくれたな。	You really made me lose face.
ゆっくりはっきりと話しなさい。	Speak slowly and clearly.
やあ、調子はどう。	Hi! What's new?
もっとゆっくり話せませんか。	Won't you speak more slowly?
もっとゆっくり話していただけませんか。	Could you speak more slowly?
もう話しにならない。	We're not getting anywhere.
もう最高においしかったですよ。	It was really good.
もうみなさんお知り合いになられましたか。	Have you gotten yourselves acquainted?
もうその話はやめましょう。	Let's not talk about it any more.
メグはかわいらしい顔つきをしている。	Meg has a lovely face.
メキシコではスペイン語を話す。	They speak Spanish in Mexico.
メキシコではスペイン語が話されますか。	Is Spanish spoken in Mexico?
メキシコではスペイン語が話されています。	Spanish is spoken in Mexico.
メアリーは日本語をゆっくりと話しました。	Mary spoke Japanese slowly.
メアリーは日本語が話せる。	Mary can speak Japanese.
メアリーはフランス語を読むことさえできない、まして話すことはできない。	Mary can't even read French, much less speak it.
メアリーはフランス語を読むことさえできない、ましてフランス語を話すことはできない。	Mary can't even read French, much less speak it.
メアリーはフランス語を読むことさえできない、フランス語を話すことはなおさらできない。	Mary can't even read French, much less speak it.
メアリーとどうして知り合いになったのですか。	How did you get to know Mary?
まだ頭がくらくらした。	My head still felt giddy.
またあなたと話をしにきてしまった。	I've come to talk with you again.
マイクはお酒をやめたの？	Is Mike off the bottle?
マーシャにその話をしたとき、いかめしい顔つきをした。	Marcia looked grim when I told her the story.
ボブは親にそっくりね。	Bob's really chip off the old block.
ボブはいったい病気なのだろうか。	Can Bob be sick?
ほとんど話せない。	He can hardly speak.
ぼくの自転車はパンクしている。	My bicycle has a flat tire.
ボーイが運ぶ。	I had the boy carry my bag.
ベティはベッドに横になった。	Betty laid herself on the bed.
ベティはうまく歌うことができた。	Betty could sing better.
ベッドに横になっていた。	He lay on the bed.
フランス語はフランスで話されます。	French is spoken in France.
フランス語であまり話しません。	I don't speak French very much.
フランス語が話せさえすればなあ。	If only I could speak French.
ぶっちゃけた話、これっていくらぐらいしたの？	Sorry to be so direct, but how much did you pay for this?
ビルは日本語をすこし話すことができる。	Bill can speak Japanese a little.
ビルはトイレで歌を歌うことがある。	Bill will often sing in the toilet.
ビールを飲むのはやめている。	I'm off beer.
はっきり話しなさい。	Speak clear.
ばかな話はよせ。	Stop your nonsense!
ばかなまね話はよせ。	Stop your nonsense!
パーティーはほとんど終わるところでした。	The party was almost over.
パーティーの開始に間に合うでしょうか。	Will we be in time for the beginning of the party?
パーティーが楽しみだ。	I'm looking forward to the party.
ねねね、そんないやな顔しないでよ。	Hey, come on. Don't make a face.
なんとみごとに歌を歌うのでしょう。	How beautifully she sings!
なんとすてきな顔をしているのだろう。	What a nice face she has!
なんて頭がいいんだろう。	How smart!
なんだい、話したいことって。	What do you want to talk to me about?
なるべくゆっくり話してもらえますか。	Could you speak as slowly as possible?
とりあえず、あたりさわりのない話をしておいたよ。	I steered clear of sensitive topics.
トムは日本語がぺらぺらだ。	Tom is a fluent speaker of Japanese.
トムはビルよりゆっくり話す。	Tom speaks more slowly than Bill.
トムはスペイン語を話すし、ベティもそうだ。	Tom speaks Spanish, and Betty speaks Spanish, too.
どのくらい病気なのですか。	How long have you been ill?
どなたとお話しになりたいのですか。	Who do you want to speak to?
どこの新聞をとっていますか。	What papers do you take?
